項目,類別,資料集名稱,資料集描述,網址,格式
27,其他,台灣電力公司_新聞稿,提供台灣電力公司網站發佈的即時新聞資訊，讓各界充分瞭解台電現況，以利有效資訊揭露及溝通。,http://data.gov.tw/node/25846,RSS
26,其他,台電公司天然氣採購價格及數量,台電公司天然氣採購價格與數量資料,http://data.gov.tw/node/9750,CSV
25,其他,台電公司燃煤現貨採購價格,台電公司燃煤現貨採購價格與市場價格比較資料資料,http://data.gov.tw/node/9749,CSV
24,其他,台電公司燃煤長約採購價格,台電公司燃煤長約採購價格與市場價格比較資料,http://data.gov.tw/node/9748,CSV
23,發電,台灣電力公司_電源開發方案,提供歷年電源開發計畫概述，電源開發規劃尖峰負載、淨尖峰能力、備用容量率之統計,http://data.gov.tw/node/30184,ODT*
22,輸電,台灣電力公司_第七輸變電計畫歷年加入系統新增變電所數量,第七輸變電計畫分年新改建變電所加入系統所數,http://data.gov.tw/node/29954,TXT
21,輸電,台灣電力公司_第七輸變電計畫歷年加入系統新增CKM數,提供台電第七輸變電計畫分年加入系統之變電工程千仟伏安統計數,http://data.gov.tw/node/29953,TXT
20,發電,台灣電力公司_各年度再生能源別裝置容量,按年度統計台電之再生能源發電，其各種能源別之裝置容量,http://data.gov.tw/node/29933,ODS*
19,發電,台灣電力公司_再生能源各場址資料,提供台電公司再生能源各場址名稱、製造商、型號、容量、安全調度日(?聯且發電時數達96小時)、地址、座標,http://data.gov.tw/node/17141,CSV
18,配電,台灣電力公司_二次變電所主變壓器裝置容量及負載,提供包括「超高壓及一次變電所」與「二次變電所」之所在地、供電範圍及其主變壓器裝置容量與最大負載等資，可供普高、特高大用戶於投資、設廠計畫初期時參考。,http://data.gov.tw/node/16960,ODS*
17,輸電,台灣電力公司_超高壓及一次變電所主變壓器裝置容量及負載,本資料表提供變電所變壓器裝置容量設計、負載多寡的差異，顯示各變電所主變可靠容量皆有所不同,http://data.gov.tw/node/16874,XML
16,發電,台灣電力公司_核能發電廠位置及機組設備,供核能發電廠及機組相關資訊,http://data.gov.tw/node/10858,ODS*
15,發電,水火力發電廠位置及機組設備,提供本公司各水火力發電廠地址、 連絡電話、機組商轉日期 、裝置容量、燃料種類,http://data.gov.tw/node/8934,CSV
14,售電,台灣電力公司_歷年行業別用按月統計資料,本資料集為提供歷年(過去5年)台電用戶依行業別統計之每月用電量資料，以利國人瞭解各行業別之用電量。,http://data.gov.tw/node/31966,ODS*
13,發電,台灣電力公司_風機發電量及發電時數統計表,提供台電各風機發電量、發電時數統計,http://data.gov.tw/node/29961,ODS*
12,發電,台灣電力公司_太陽光電發電量及平均單位裝置容量每日發電量統計表,太陽光電發電量、平均單位裝置容量每日發電量統計,http://data.gov.tw/node/29938,ODS*
11,售電,台灣電力公司_各縣市再生能源別購入情形,按月統計各縣市再生能源別之裝置容量及購入度數並彙整上年度資料,http://data.gov.tw/node/29936,ODS*
10,售電,台灣電力公司_各縣市住宅、服務業及機關用電統計資料,按縣市別提供住宅、服務業及機關等部門每月用電量，並與前一年同期計算節電率。,http://data.gov.tw/node/29935,ODS*
9,輸電,台灣電力公司_過去電力供需資訊,提供上一年度及今年度至上月份為止，每日電力供需資訊及機組發電量對尖峰備轉容量率之影響。,http://data.gov.tw/node/19995,CSV
8,發電,台灣電力公司_風力及太陽光電發電量,提供台電公司太陽能及風力等再生能源發電量每月及年度發電量,http://data.gov.tw/node/17140,CSV
7,售電,台灣電力公司_每月住宅及小商店實際用電情形,住宅與小商家用電度數及電費與去年同期之比較表,http://data.gov.tw/node/17062,ODT*
6,售電,台灣電力公司_鄉鎮市(郵遞區)別售電統計資料,提供各行政區(郵遞區別)售電量統計資料,http://data.gov.tw/node/14135,ODS*
5,輸電,台灣電力公司_本年度每日尖峰備轉容量率,提供今年度至前一日為止的每日尖峰備轉容量率。當日備轉容量(Operating Reserve)＝系統運轉淨尖峰能力－系統瞬時尖峰負載(瞬間值)。,http://data.gov.tw/node/25850,CSV
4,輸電,台灣電力公司_去年度每日尖峰備轉容量率,提供去年度每日尖峰備轉容量率。當日備轉容量(Operating Reserve)＝系統運轉淨尖峰能力－系統瞬時尖峰負載(瞬間值)。,http://data.gov.tw/node/24945,CSV
3,輸電,台電系統(含外購電力)各機組發電量即時資訊,提供台電自有及外購電力之各機組(含水、火力、再生能源、核能等)發電量即時資訊,http://data.gov.tw/node/8931,JSON
2,發電,台電歷年尖峰負載及備用容量率,提供自71年起台電歷年尖峰負載及備用容量率統計資料,http://data.gov.tw/node/8307,TXT
1,售電,用電統計資料,歷年售電量、歷年行業別用電、歷年平均電價、歷年用戶數,http://data.gov.tw/node/6064,TXT
